"","id","title","author_id","description","content","date"
"1",1,"Scaling on-chip photonic neural processors using arbitrarily programmable wave propagation","Tatsuhiro Onodera, Martin M. Stein, Benjamin A. Ash, Mandar M. Sohoni, Melissa Bosch, Ryotatsu Yanagimoto, Marc Jankowski, Timothy P. McKenna, Tianyu Wang, Gennady Shvets, Maxim R. Shcherbakov, Logan ","Optics (physics.optics)","On-chip photonic processors for neural networks have potential benefits in both speed and energy efficiency but have not yet reached the scale at which they can outperform electronic processors. The dominant paradigm for designing on-chip photonics is to make networks of relatively bulky discrete components connected by one-dimensional waveguides. A far more compact alternative is to avoid explicitly defining any components and instead sculpt the continuous substrate of the photonic processor to directly perform the computation using waves freely propagating in two dimensions. We propose and demonstrate a device whose refractive index as a function of space, $n(x,z)$, can be rapidly reprogrammed, allowing arbitrary control over the wave propagation in the device. Our device, a 2D-programmable waveguide, combines photoconductive gain with the electro-optic effect to achieve massively parallel modulation of the refractive index of a slab waveguide, with an index modulation depth of $10^{-3}$ and approximately $10^4$ programmable degrees of freedom. We used a prototype device with a functional area of $12,	ext{mm}^2$ to perform neural-network inference with up to 49-dimensional input vectors in a single pass, achieving 96% accuracy on vowel classification and 86% accuracy on $7 	imes 7$-pixel MNIST handwritten-digit classification. This is a scale beyond that of previous photonic chips relying on discrete components, illustrating the benefit of the continuous-waves paradigm. In principle, with large enough chip area, the reprogrammability of the device's refractive index distribution enables the reconfigurable realization of any passive, linear photonic circuit or device. This promises the development of more compact and versatile photonic systems for a wide range of applications, including optical processing, smart sensing, spectroscopy, and optical communications.","Tue, 27 Feb 2024 18:37:22 UTC (25,256 KB)"
"2",2,"LoDIP: Low light phase retrieval with deep image prior","Raunak Manekar, Elisa Negrini, Minh Pham, Daniel Jacobs, Jaideep Srivastava","Computational Physics (physics.comp-ph)","Phase retrieval (PR) is a fundamental challenge in scientific imaging, enabling nanoscale techniques like coherent diffractive imaging (CDI). Imaging at low radiation doses becomes important in applications where samples are susceptible to radiation damage. However, most PR methods struggle in low dose scenario due to the presence of very high shot noise. Advancements in the optical data acquisition setup, exemplified by in-situ CDI, have shown potential for low-dose imaging. But these depend on a time series of measurements, rendering them unsuitable for single-image applications. Similarly, on the computational front, data-driven phase retrieval techniques are not readily adaptable to the single-image context. Deep learning based single-image methods, such as deep image prior, have been effective for various imaging tasks but have exhibited limited success when applied to PR. In this work, we propose LoDIP which combines the in-situ CDI setup with the power of implicit neural priors to tackle the problem of single-image low-dose phase retrieval. Quantitative evaluations demonstrate the superior performance of LoDIP on this task as well as applicability to real experimental scenarios.","Tue, 27 Feb 2024 18:29:07 UTC (7,846 KB)"
"3",3,"Approaching Periodic Systems in Ensemble Density Functional Theory 	extit{via} Finite One-Dimensional Models","Remi J. Leano, Aurora Pribram-Jones, David A. Strubbe","Materials Science (cond-mat.mtrl-sci)","Ensemble Density Functional Theory (EDFT) is a generalization of ground-state Density Functional Theory (GS DFT), which is based on an exact formal theory of finite collections of a system's ground and excited states. EDFT in various forms has been shown to improve the accuracy of calculated energy level differences in isolated model systems, atoms, and molecules, but it is not yet clear how EDFT could be used to calculate band gaps for periodic systems. We extend the application of EDFT toward periodic systems by estimating the thermodynamic limit with increasingly large finite one-dimensional enquote{particle in a box} systems, which approach the uniform electron gas. Using ensemble-generalized Hartree and Local Spin Density Approximation (LSDA) exchange-correlation functionals, we find that corrections go to zero in the infinite limit, as expected for a metallic system. However, there is a correction to the effective mass, as estimated from bi- and tri-ensembles, indicating promise for non-trivial results for EDFT on periodic systems. Singlet excitation energies are found to be positive, but triplet excitation energies are sometimes negative (a triplet instability), pointing to deficiencies of the approximations.","Tue, 27 Feb 2024 18:21:42 UTC (1,713 KB)"
"4",4,"Multistable Kuramoto splay states in a crystal of mode-locked laser pulses","T. G. Seidel, A. Bartolo, A. Garnache, M. Giudici, M. Marconi, S. V. Gurevich, J. Javaloyes","Optics (physics.optics)","We demonstrate the existence of a multiplicity of co-existing frequency combs in a harmonically mode-locked laser that we link to the splay phases of the Kuramoto model with short range interactions. These splay states are multistable and the laser may wander between them under the influence of stochastic forces. Consequently, the many pulses circulating in the cavity are not necessarily coherent with each other. We show that this partially disordered state for the phase of the optical field features regular train of pulses in the field intensity, a state that we term an incoherent crystal of optical pulses. We provide evidence that the notion of coherence should be interpreted by comparing the duration of the measurement time with the Kramers' escape time of each splay state. Our results are confirmed experimentally by studying a passively mode-locked vertical external-cavity surface-emitting laser.","Tue, 27 Feb 2024 18:18:56 UTC (3,487 KB)"
"5",5,"Effect of impurity phase and high-pressure synthesis on the superconducting properties of CaKFe4As4","Manasa Manasa, Mohammad Azam, Tatiana Zajarniuk, Ryszard Diduszko, Tomasz Cetner, Andrzej Morawski, Andrzej Wiśniewski, Shiv J. Singh","Superconductivity (cond-mat.supr-con)","AeAFe4As4 (Ae = Ca, A = K; 1144) having a transition temperature of 35 K is a stoichiometric family of iron-based superconductors (FBS). Here, we present a detailed study of a high-pressure synthesis of CaKFe4As4 bulks to investigate the impact of these conditions on the superconducting properties of the 1144 family. Additionally, these samples are also prepared by conventional synthesis method at ambient pressure (CSP) and studied the influence of impurities on the superconducting properties of CaKFe4As4. Structural, microstructural, transport and magnetization measurements have been performed to reach the final conclusions. Interestingly, the high-pressure synthesis of the parent CaKFe4As4 compound enhances the transition temperature (Tc) by 2 K and the critical current density (Jc) by one order of magnitude in the whole magnetic field range of 9 T than that of the 1144 bulks prepared by CSP. It suggests the improvement of the pinning centers and grain connections by the high-pressure synthesis approach. Interestingly, our results depict the superconducting onset transition temperature (Tconset) of this stoichiometric 1144 family is robust with the presence of the common 122 (CaFe2As2 or KFe2As2) impurity phases, which is a different behavior compared to other FBS families. However, these impurity phases reduce the grain connections and lead to the phase separation during the formation of the superconducting (1144) phase.","Tue, 27 Feb 2024 18:05:51 UTC (17,351 KB)"
"6",6,"Computation of the expectation value of the spin operator $hat{S}^2$ for the Spin-Flip Bethe-Salpeter Equation","Bradford A. Barker, Arabi Seshappan, David A. Strubbe","Materials Science (cond-mat.mtrl-sci)","Spin-flip methods applied to excited-state approaches like the Bethe-Salpeter Equation allow access to the excitation energies of open-shell systems, such as molecules and defects in solids. The eigenstates of these solutions, however, are generally not eigenstates of the spin operator $hat{S}^2$. Even for simple cases where the excitation vector is expected to be, for example, a triplet state, the value of $langle hat{S}^2 angle$ may be found to differ from 2.00; this difference is called ``spin contamination.'' The expectation values $langle hat{S}^2 angle$ must be computed for each excitation vector, to assist with the characterization of the particular excitation and to determine the amount of spin contamination of the state. Our aim is to provide for the first time in the spin-flip methods literature a comprehensive resource on the derivation of the formulas for $langle hat{S}^2 angle$ as well as its computational implementation. After a brief discussion of the theory of the Spin-Flip Bethe-Salpeter Equation and some examples further illustrating the need for calculating $langle hat{S}^2 angle$, we present the derivation for the general equation for computing $langle hat{S}^2 angle$ with the eigenvectors from an SF-BSE calculation, how it is implemented in a Python script, and timing information on how this calculation scales with the size of the SF-BSE Hamiltonian.","Tue, 27 Feb 2024 17:55:26 UTC (508 KB)"
"7",7,"Cluster Scanning: a novel approach to resonance searches","Ivan Oleksiyuk, John Andrew Raine, Michael Krämer, Svyatoslav Voloshynovskiy, Tobias Golling","High Energy Physics - Phenomenology (hep-ph)","We propose a new model-independent method for new physics searches called Cluster Scanning. It uses the k-means algorithm to perform clustering in the space of low-level event or jet observables, and separates potentially anomalous clusters to construct a signal-enriched region. The invariant mass spectra in these two regions are then used to determine whether a resonant signal is present. A pseudo-analysis on the LHC Olympics dataset with a $Z'$ resonance shows that Cluster Scanning outperforms the widely used 4-parameter functional background fitting procedures, reducing the number of signal events needed to reach a $3sigma$ significant access by a factor of 0.61. Emphasis is placed on the speed of the method, which allows the test statistic to be calibrated on synthetic data.","Tue, 27 Feb 2024 17:49:23 UTC (1,178 KB)"
"8",8,"Novel spectral methods for shock capturing and the removal of tygers in computational fluid dynamics","Venkata Sai Swetha Kolluru, Nicolas Besse, Rahul Pandit","Numerical Analysis (math.NA)","Spectral methods yield numerical solutions of the Galerkin-truncated versions of nonlinear partial differential equations involved especially in fluid dynamics. In the presence of discontinuities, such as shocks, spectral approximations develop Gibbs oscillations near the discontinuity. This causes the numerical solution to deviate quickly from the true solution. For spectral approximations of the 1D inviscid Burgers equation, nonlinear wave resonances lead to the formation of tygers in well-resolved areas of the flow, far from the shock. Recently, Besse(to be published) has proposed novel spectral relaxation (SR) and spectral purging (SP) schemes for the removal of tygers and Gibbs oscillations in spectral approximations of nonlinear conservation laws. For the 1D inviscid Burgers equation, it is shown that the novel SR and SP approximations of the solution converge strongly in L2 norm to the entropic weak solution, under an appropriate choice of kernels and related parameters. In this work, we carry out a detailed numerical investigation of SR and SP schemes when applied to the 1D inviscid Burgers equation and report the efficiency of shock capture and the removal of tygers. We then extend our study to systems of nonlinear hyperbolic conservation laws - such as the 2x2 system of the shallow water equations and the standard 3x3 system of 1D compressible Euler equations. For the latter, we generalise the implementation of SR methods to non-periodic problems using Chebyshev polynomials. We then turn to singular flow in the 1D wall approximation of the 3D-axisymmetric wall-bounded incompressible Euler equation. Here, in order to determine the blowup time of the solution, we compare the decay of the width of the analyticity strip, obtained from the pure pseudospectral method, with the improved estimate obtained using the novel spectral relaxation scheme.","Tue, 27 Feb 2024 17:05:06 UTC (15,800 KB)"
"9",9,"Outlier-Detection for Reactive Machine Learned Potential Energy Surfaces","Luis Itza Vazquez-Salazar, Silvan Käser, Markus Meuwly","Chemical Physics (physics.chem-ph)","Uncertainty quantification (UQ) to detect samples with large expected errors (outliers) is applied to reactive molecular potential energy surfaces (PESs). Three methods - Ensembles, Deep Evidential Regression (DER), and Gaussian Mixture Models (GMM) - were applied to the H-transfer reaction between ${it syn-}$Criegee and vinyl hydroxyperoxide. The results indicate that ensemble models provide the best results for detecting outliers, followed by GMM. For example, from a pool of 1000 structures with the largest uncertainty, the detection quality for outliers is $sim 90$ % and $sim 50$ %, respectively, if 25 or 1000 structures with large errors are sought. On the contrary, the limitations of the statistical assumptions of DER greatly impacted its prediction capabilities. Finally, a structure-based indicator was found to be correlated with large average error, which may help to rapidly classify new structures into those that provide an advantage for refining the neural network.","Tue, 27 Feb 2024 17:01:21 UTC (5,252 KB)"
"10",10,"Attosecond Core-level Photoionization Delays of Aromatic Molecules","Jia-Bao Ji, Zhaoheng Guo, Taran Driver, Cynthia S. Trevisan, David Cesar, Xinxin Cheng, Joseph Duris, Paris L. Franz, James Glownia, Xiaochun Gong, Daniel Hammerland, Meng Han, Saijoscha Heck, Matthia","Chemical Physics (physics.chem-ph)","Attosecond photoionization delays are a unique probe of the structure and the electronic dynamics of matter, but valence-shell photoionization dynamics of polyatomic systems are often complicated and challenging to interpret because of the delocalized nature of the electronic wave functions. Here we use attosecond soft-X-ray pulses from LCLS to probe element-specific core-level photoionization delays between N-1s and C-1s core shells of aromatic azabenzene molecules containing one to three nitrogen atoms. Using a self-referenced technique, we measure absolute N-1s photoionization delays of up to 300 as, which increase with the number of nitrogen atoms in the molecule. Comparisons to molecular photoionization calculations reveal the dominant mechanisms to be the increasing trapping of the photoelectron wavefunction in the molecular plane, as well as the symmetry-induced decrease of the coupling strength among the partial waves. This study demonstrates the unique opportunities opened by measurements of core-level photoionization delays for unravelling attosecond electronic dynamics in the building blocks of biomolecules and molecular optoelectronics.","Tue, 27 Feb 2024 16:59:00 UTC (41,485 KB)"
